id,price_doc
30474,5161728.0
30475,8641682.0
30476,5760277.0
30477,6050268.0
30478,5339462.0
30479,10174697.0
30480,4507391.0
30481,4463322.0
30482,4726072.0
30483,5026636.0
30484,6611397.0
30485,5154415.0
30486,4236274.0
30487,4496214.0
30488,6647463.0
30489,5895468.0
30490,23024884.0
30491,22015708.0
30492,6091566.0
30493,13416181.0
30494,7198985.0
30495,12013666.0
30496,8564641.0
30497,8183446.0
30498,4573160.0
30499,7195242.0
30500,12480849.0
30501,7532254.0
30502,3200712.0
30503,4942954.0
30504,6636570.0
30505,11499781.0
30506,3183058.0
30507,5318636.0
30508,5674554.0
30509,7771658.0
30510,9279189.0
30511,6442560.0
30512,5524431.0
30513,4508062.0
30514,3478949.0
30515,9655856.0
30516,6032268.0
30517,10656158.0
30518,9141028.0
30519,4910820.0
30520,7405692.0
30521,5343842.0
30522,7930422.0
30523,6301697.0
30524,10184186.0
30525,11787041.0
30526,5240430.0
30527,5303796.0
30528,6922667.0
30529,6544789.0
30530,6717521.0
30531,14716936.0
30532,4694274.0
30533,11768481.0
30534,7069358.0
30535,9494872.0
30536,5833890.0
30537,12481437.0
30538,5533690.0
30539,12103404.0
30540,9517013.0
30541,5397888.0
30542,2302447.0
30543,5319783.0
30544,6862091.0
30545,8315337.0
30546,4175142.0
30547,10948970.0
30548,4420734.0
30549,5437398.0
30550,11953842.0
30551,5661742.0
30552,2058690.0
30553,7176218.0
30554,9811510.0
30555,6396888.0
30556,9470795.0
30557,7893752.0
30558,10295406.0
30559,6087742.0
30560,5771052.0
30561,7816688.0
30562,13722416.0
30563,5044822.0
30564,7691182.0
30565,7497826.0
30566,6817025.0
30567,2248566.0
30568,10745880.0
30569,10400378.0
30570,7613598.0
30571,8738859.0
30572,5306927.0
30573,6486651.0
30574,7069028.0
30575,9122145.0
30576,5068536.0
30577,4211544.0
30578,3119012.0
30579,8027182.0
30580,4040532.0
30581,5951300.0
30582,14317465.0
30583,7451000.0
30584,5307092.0
30585,3654401.0
30586,9335385.0
30587,5929296.0
30588,8017082.0
30589,7001868.0
30590,9372249.0
30591,6014882.0
30592,6489068.0
30593,8261239.0
30594,6974924.0
